keyword,volume_range,competition_level,opportunity_score,niche,date_found
alternative to chipotle,100-1000,low,3,podcast generators,2026-04-19
alternative to crown for cracked tooth,100-1000,low,3,podcast generators,2026-04-19
alternative to dual-booting,100-1000,low,3,podcast generators,2026-04-19
alternative to fluoride,100-1000,low,3,podcast generators,2026-04-19
alternative to gel nails,100-1000,low,3,podcast generators,2026-04-19
alternative to grass lawn,100-1000,low,3,podcast generators,2026-04-19
alternative to ice cream,100-1000,low,3,podcast generators,2026-04-19
alternative to insulin,100-1000,low,3,podcast generators,2026-04-19
alternative to kickbacks,100-1000,low,3,podcast generators,2026-04-19
alternative to pdf,100-1000,low,3,podcast generators,2026-04-19
alternative to prolia,100-1000,low,3,podcast generators,2026-04-19
alternative to turo,100-1000,low,3,podcast generators,2026-04-19
alternative to watchman device,100-1000,low,3,podcast generators,2026-04-19
